Reference Alignment,My Alignment
(12 Document -> 17 Document: 1.0  =  ),(12 Document -> 17 Document: 2.0  =  ),[],[]
Unmatched:(10 ConferenceMember -> 9 Conference_Participant: 1.0  =  ),,[19 Person],[41 Person]
Unmatched:(3 Author -> 40 Paper_Author: 1.0  =  ),,[28 User, 10 ConferenceMember],[41 Person]
(19 Person -> 41 Person: 1.0  =  ),(19 Person -> 41 Person: 2.0  =  ),[],[]
(8 Conference -> 6 Conference: 1.0  =  ),(8 Conference -> 6 Conference: 2.0  =  ),[],[57 Scientific_Event]
(25 Review -> 55 Review: 1.0  =  ),(25 Review -> 55 Review: 2.0  =  ),[12 Document],[17 Document]
(16 Paper -> 39 Paper: 1.0  =  ),(16 Paper -> 39 Paper: 2.0  =  ),[12 Document],[17 Document]
Unmatched:(18 PaperFullVersion -> 50 Regular_Paper: 1.0  =  ),,[16 Paper],[39 Paper]
Unmatched:(58 writtenBy -> 23 reviewWrittenBy: 1.0  =  ),,Review,Review
Unmatched:(23 hasBeenAssigned -> 24 reviewerOfPaper: 1.0  =  ),,Reviewer,Possible_Reviewer
Unmatched:(11 assignedTo -> 6 hasReviewer: 1.0  =  ),,Paper,Paper
