Reference Alignment,My Alignment
(78 Place -> 33 Place: 1.0  =  ),(78 Place -> 33 Place: 1.0  =  ),[],[]
(97 Review -> 43 Review: 1.0  =  ),(97 Review -> 43 Review: 1.0  =  ),[43 Document],[19 Document]
(116 Student_registration_fee -> 41 Registration_Student: 1.0  =  ),(116 Student_registration_fee -> 41 Registration_Student: 0.800000011920929  =  ),[93 Registration_fee],[42 Registration_fee]
(45 Fee -> 21 Fee: 1.0  =  ),(45 Fee -> 21 Fee: 1.0  =  ),[69 Money],[]
(93 Registration_fee -> 42 Registration_fee: 1.0  =  ),(93 Registration_fee -> 42 Registration_fee: 1.0  =  ),[45 Fee],[21 Fee]
(108 Sponsor -> 46 Sponzor: 1.0  =  ),(108 Sponsor -> 46 Sponzor: 1.0  =  ),[77 Person],[]
Unmatched:(37 Deadline_for_notification_of_acceptance -> 17 Deadline_Author_notification: 1.0  =  ),,[36 Deadline],[15 Deadline]
(72 Nonmember_registration_fee -> 38 Registration_Non-Member: 1.0  =  ),(72 Nonmember_registration_fee -> 38 Registration_Non-Member: 0.800000011920929  =  ),[93 Registration_fee],[42 Registration_fee]
(5 Author -> 2 Author: 1.0  =  ),(5 Author -> 2 Author: 1.0  =  ),[106 Speaker],[45 Speaker]
(64 Listener -> 26 Listener: 1.0  =  ),(64 Listener -> 26 Listener: 1.0  =  ),[39 Delegate],[32 Person]
(66 Main_office -> 27 Main_office: 1.0  =  ),(66 Main_office -> 27 Main_office: 1.0  =  ),[78 Place],[33 Place]
(30 Conference_hall -> 14 Conference_hall: 1.0  =  ),(30 Conference_hall -> 14 Conference_hall: 1.0  =  ),[78 Place],[33 Place]
(77 Person -> 32 Person: 1.0  =  ),(77 Person -> 32 Person: 1.0  =  ),[],[]
(36 Deadline -> 15 Deadline: 1.0  =  ),(36 Deadline -> 15 Deadline: 1.0  =  ),[123 Time],[]
(106 Speaker -> 45 Speaker: 1.0  =  ),(106 Speaker -> 45 Speaker: 1.0  =  ),[39 Delegate],[32 Person]
False positives (67 Memeber_registration_fee -> 40 Registration_SIGMOD_Member: 0.6666666865348816  =  ),,[93 Registration_fee],[42 Registration_fee]
False positives (70 Non_speaker -> 25 Invited_Speaker: 0.6  =  ),,[39 Delegate],[45 Speaker]
False positives (51 Hotel_presenter -> 24 Hotel: 0.6666666865348816  =  ),,[39 Delegate],[33 Place]
False positives (50 Hotel_fee -> 47 Sponzor_fee: 0.6  =  ),,[45 Fee],[21 Fee]
False positives (24 Conference_Hiker -> 13 Conference: 0.6666666865348816  =  ),,[39 Delegate],[]
False positives (118 Submissions_deadline -> 16 Deadline_Abstract_Submission: 0.800000011920929  =  ),,[36 Deadline],[15 Deadline]
False positives (117 Submission -> 18 Deadline_Paper_Submission: 0.6  =  ),,[43 Document],[15 Deadline]
False positives (100 Session_chair -> 35 Program_Chair: 0.6  =  ),,[39 Delegate],[28 Organizator]
False positives (122 Technical_commitee -> 12 Committee: 0.6666666865348816  =  ),,[39 Delegate],[]
False positives (43 Document -> 19 Document: 1.0  =  ),,[60 Item],[]
False positives (35 pay -> 20 pay: 1.0  =  ),,Person,Person
